,index,NAME,YEAR,DIRECTOR,RATINGS,RATING_SCORES,REVIEWS,neg,neu,pos,compound
1479,1479,The Thing,1982,John Carpenter, ★★★★★ ,5.0, you could pretty much name any movie The Thing ***,0.0,0.738,0.262,0.4939
1480,1480,The Ascent,1977,Larisa Shepitko, None ,0.0," I had never heard of this film until reading James Schamus's top ten list on Criterion.com. A powerful film with incredible sequences. The opening five minutes has it all... exposition, beautiful reveals, dramatic framing and cutting and an opening title sequence that plays over a gun fight. Not sure I've ever seen that before. Sadly, director Larisa Shepitko passed at the age of 41 in a road accident. Imagine the classics she would have graced us with. I'm looking forward to watching her early film Krylya (Wings) which is also on the Criterion Channel. Won Berlin's Golden Bear in 1977.Watched on the Criterion Channel. ***",0.12,0.745,0.135,0.4094
1481,1481,The Ascent,1977,Larisa Shepitko, ★★★★★ ,5.0, maybe the most devastatingly beautiful film I've ever seen ***,0.233,0.504,0.263,0.1243
1482,1482,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5," tremendous film, i cried the last 20 minutes because i was so overwhelmed with emotion. also, i did make a video about my trip to the theater to see this alongside come and see 🫣 ***",0.078,0.873,0.049,-0.2462
1483,1483,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5," The final moments in this incredible film are some of the most devastating i've ever experienced in a film, so full of self-hatred and soul-crushing personal torment that so deeply affected me. War is fucked up. Not sure what else to say, seek out this extremely powerful, grim and very human war film, or not if you don't want to feel completely miserable. ***",0.35,0.614,0.036,-0.98
1484,1484,The Ascent,1977,Larisa Shepitko, ★★★★ ,4.0," Larisa Shepitko's depiction of humanity in the grip of war left me shaken, a shell of my former self! Feeling weak my psyche spent, a truly humbling experience to witness a man Sotnikov (Boris Plotnikov) facing death and do so with such extraordinary grace, integrity and honor!The tight shots of Sotnikov's face with an almost christ like aura about him was as haunting as it was beautiful! ***",0.166,0.636,0.198,0.4015
1485,1485,The Ascent,1977,Larisa Shepitko, ★★★★★ ,5.0," beautiful and extremely hard to watch, with every glance into the camera i felt like my soul was getting ripped out of my body ***",0.058,0.722,0.22,0.6915
1486,1486,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5," Set in the bleakest, wintriest landscape you'll ever see on film, The Ascent is full of panic and existential dread evoked by the impending doom, like adrenaline interjecting, adding pressurized gas to the inferno. This is what feels like to stare in the face of death. Larisa Shepitko has left behind one of the greatest films ever made, one that deals with the senseless brutality of war, stoicism, betrayal, and martyrdom - Either you live to die or die to live, you make your choice and suffer the consequences thereafter. Multiple viewings needed. ***",0.287,0.631,0.082,-0.981
1487,1487,The Ascent,1977,Larisa Shepitko, ★★★★★ ,5.0," Goes beyond words. The end is some of the rawest and wildest shit I have ever seen. This film is the bible. It starts one place and by the end, it has assaulted the viewer with its harrowing atmosphere and haunting camerawork that forever will be imprinted in my mind. Where it leaves the characters was the absolutely worst thing that could have happened to my sleep. ***",0.176,0.824,0.0,-0.9259
1488,1488,The Ascent,1977,Larisa Shepitko, ★★★★ ,4.0," Luminous at hallucinatory pitch, delirious from cold, from illness, from pain, from hunger, what confirms and what distracts. Landscape of earth, what can be read there and in the faces of its inhabitants? Pushed to the isolate torment of collaboration or the crown of martyrdom, war is a stain, a scar upon the earth and upon the souls of those beings overtaken by war. Have snow-covered trees ever been so beautiful within a film? ***",0.227,0.717,0.056,-0.9227
1489,1489,The Ascent,1977,Larisa Shepitko, ★★★★★ ,5.0," I need time to let this one sink, I'll watch it again soon when I feel like I'm ready. But I can comfortably say that this is one of the most harrowing war films that I've ever seen. ***",0.128,0.712,0.16,-0.145
1490,1490,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5, it's war movies like this and Paths of Glory (1957) that make me hate contemporary american/english war movies all the more. less heroic bullshit and more of that human condition 😋 ***,0.313,0.491,0.196,-0.7717
1491,1491,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5," “I know what a human being really is. And you’ll find out too.”Don’t leave me in this infinite whiteness. Stare into my soul, I’m here. Save me or take me. Have mercy. ***",0.033,0.808,0.159,0.6705
1492,1492,The Ascent,1977,Larisa Shepitko, ★★★★★ ,5.0," truly one of the most gut-wrenching, soul-crushing movies i've ever experienced, and definitely one of the best war films i've ever seen. everything builds up masterfully to an extremely powerful third act that had me sobbing like a baby and full of anger at the same time... god this was a lotoh also there was a lot of gay subtext here it HAD to be intentional ***",0.123,0.665,0.212,0.7425
1493,1493,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5, I mean.... fuuuuuuuck. ***,0.0,1.0,0.0,0.0
1494,1494,The Ascent,1977,Larisa Shepitko, ★★★½ ,3.5, fellas is it gay to blow your hot breath onto the back of your buddy’s neck to unfreeze his body from a tree so you can delena carry him to the warmth of a nearby hearth? ***,0.0,0.919,0.081,0.4588
1495,1495,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5, Cold boy winter ***,0.0,1.0,0.0,0.0
1496,1496,The Ascent,1977,Larisa Shepitko, None ,0.0," the unbroken half-smile of one and eyes full of tears of another linked by an invisible but scalding bridge that, like a raw nerve, devotes itself wholly to the generational succession of the grand knowing. the scalp frozen to a tree of one and the soft breath of another, saving a few hairs on his head, not yet knowing this hair will be fluttering in the wind remarkably soon, the savior being the one making the last push ***",0.017,0.832,0.151,0.9081
1497,1497,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5," Nothing brings out the worst in people quite as forcefully as being eye to eye with someone whose spirit cannot be broken. The Ascent is a portrait of a person like that, and it is fantastic. ***",0.092,0.675,0.233,0.6433
1498,1498,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5," I mean...This movie, going against it's title portrays more of a descent as we watch the horrors of war unravel themselves on our two main characters journey. This conflict of trajectory is represented in our two leads personal journeys as well. Unfortunately in war a personal ascent is not to different from a descent.This film left me with a sense of loss in my gut, not only because of what I saw on screen but because of what films we might have had if Shepitko had not died so young. ***",0.129,0.813,0.057,-0.5878
1499,1499,The Ascent,1977,Larisa Shepitko, ★★★★½ ,4.5," ""Don't crawl in shit. You'll never wash it off."" - Sotnikov, Gay?A brutal and beautiful film that is hard to look away from and hard to stop thinking about. The pacing is perfect, creating a slow building narrative that while being quite specific, generates so much to think about. The cinematography and direction is such that you could watch this without sound and still feel included and entertained. That said the sound is fantastic. Also... that ending!Way to go Russians! ***",0.093,0.706,0.201,0.9101
1500,1500,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0, (Saw in 70mm)When Lawrence blew out that match I gasped ***,0.0,1.0,0.0,0.0
1501,1501,Lawrence of Arabia,1962,David Lean, ★★★★½ ,4.5, filmed entirely at the Indiana Dunes ***,0.0,1.0,0.0,0.0
1502,1502,Lawrence of Arabia,1962,David Lean, ★★★★½ ,4.5," how is a colonialist epic about a tormented sadist with a twinkle in his eyes so universally beloved?"" ... best not to answer that. what i find most amazing about Lean's masterpiece is that such a politically thorny, morally vague 228-minute film about a man's grand-scale psychic collapse has become such a celebrated movie, regarded as a treasure by EW and the the intelligentsia alike.i should probably say a little something about the 4K DCP presentation, but... i'm sleepy. maybe later. ***",0.073,0.7,0.227,0.9441
1503,1503,Lawrence of Arabia,1962,David Lean, ★★★½ ,3.5, they played the extended cut which included all the gay sex scenes ***,0.135,0.71,0.155,0.0772
1504,1504,Lawrence of Arabia,1962,David Lean, ★★★★½ ,4.5," I like sand. It's coarse, rough, and mesmerizing. And it gets everywhere. www.larsenonfilm.com/lawrence-of-arabia ***",0.0,0.828,0.172,0.3612
1505,1505,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0, alright maybe 4 hour movies DO have rights ***,0.0,0.778,0.222,0.25
1506,1506,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0," Four glorious hours of camels walking in extreme long shot. Oh, and also a pretty devastating subversion of the white man's burden narrative, in which a man hates his own people and tries to go native, but is always reminded he cannot, no matter his accomplishments. Another epic on the subject would have ended in a blaze of glory. This one stops in a pool of self-contempt. Almost makes one look forward to the release of Lawrence's death seen in the film's opening. ***",0.154,0.724,0.122,-0.2799
1507,1507,Lawrence of Arabia,1962,David Lean, None ,0.0, EMBARGOED ***,0.0,1.0,0.0,0.0
1508,1508,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0, The classic tale of a weird but harmless gay man who gets famous and then becomes insufferable. ***,0.072,0.796,0.133,0.2846
1509,1509,Lawrence of Arabia,1962,David Lean, ★★½ ,2.5," ""I had to execute someone, and there is something about it I didn't like."" -Lawrence, Four hours of colonialism, sand, brown face and boredom.. not my thing but the cinematography is outstanding. ***",0.0,0.849,0.151,0.7579
1510,1510,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0," An egomaniac ventures abroad convinced that he can remake the world and that he wants to do so for noble reasons. He accomplishes nothing, gets scores of those who trusted him killed, commits some war crimes, and returns home consumed with self-loathing and the very same longing for purpose and meaning that pulled him away in the first place. Dated and irrelevant, obviously. ***",0.124,0.712,0.164,0.2732
1511,1511,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0," Biblical literary epic for the screen. Vast when it needs to be, intimate when it should be. Saw it for the first time on the big screen. Which is probably the smallest screen you should see it on. ***",0.0,1.0,0.0,0.0
1512,1512,Lawrence of Arabia,1962,David Lean, ★★ ,2.0," I ain't watching a 4-hour long movie about the desert, fuck off. ***",0.259,0.741,0.0,-0.5423
1513,1513,Lawrence of Arabia,1962,David Lean, ★★★★½ ,4.5," Watched again for The Next Picture Show. The film is extremely front-loaded-- all the best and most memorable moments come pre-intermission, and it's more cleanly articulated as a piece of storytelling and a character study. Post-intermission gets messier, necessarily so to an extent, but one does slouch in one's chair ever-so-slightly. ***",0.0,0.95,0.05,0.3818
1514,1514,Lawrence of Arabia,1962,David Lean, ★★★½ ,3.5," why even try to write a proper review for this film when you can just cop out of it by saying that ""nothing is written"" instead ***",0.0,1.0,0.0,0.0
1515,1515,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0, Absolutely stunning. One of those canon entries that perpetually exceeds the expectations set by the discussion around it.(Saw a brand-spankin'-new 70mm print at the MOMI and holy wow was it a tall drink of water.) ***,0.0,0.827,0.173,0.7713
1516,1516,Lawrence of Arabia,1962,David Lean, ★★★★ ,4.0," Cinematic Time Capsule1962 Marathon - Film #88The Most Epical Epic to Ever Epic!But Ooh! This film is so damn long that it damn well 'urts!Certainly it hurtsWhat's the trick then?The trick, Mr. Cammmalot, is not minding that it hurts.Cinematic Time Capsule - 1962 RankedMartin Scorsese’s Favorite FilmsRoger Ebert’s The Great Movies Volume IThe New York Times Book of Movies: The Essential 1,000 Films to See  ***",0.134,0.746,0.12,0.4006
1517,1517,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0, Totally unoriginal thing to say but...WOW! This is cinema right here. ***,0.0,1.0,0.0,0.0
1518,1518,Lawrence of Arabia,1962,David Lean, ★★★★ ,4.0," **sand politics**I have a great appreciation for this film. Denis Villeneuve has gone on record to say this film has inspired some of his work. Although it is a long watch, Lawrence’s Character is extremely fascinating. I don’t recommend this for everyone. ***",0.0,0.671,0.329,0.9528
1519,1519,Lawrence of Arabia,1962,David Lean, ★★★★★ ,5.0, There are scenes in this movie that are so stunning that after watching them I feel the need to take a moment to recover.Every time I see the scene where Lawrence blows out that match and it cuts to the sunrise it feels like I go to heaven for a split second. ***,0.04,0.795,0.166,0.7886
1520,1520,Before Sunrise,1995,Richard Linklater, ★★★★½ ,4.5, Damn I really wanted to see that play with the cow ***,0.191,0.638,0.17,-0.0772
1521,1521,Before Sunrise,1995,Richard Linklater, ★★★★★ ,5.0, ily - i love youilysm - i love you so muchdywtgsitlbsw - do you want to go see if that listening booth still works? ***,0.0,0.532,0.468,0.9337
1522,1522,Before Sunrise,1995,Richard Linklater, ★★★★★ ,5.0, The best love poem ever filmed.Sweet without being sugary.Heartfelt without being sappy.A big heart shaped slice of perfection. ***,0.0,0.569,0.431,0.9201
1523,1523,Before Sunrise,1995,Richard Linklater, ★★★★ ,4.0," ""i guess this is it, no?""""yeah... um, i really..... i mean, you know...""""yeah, i know. me too""...oh? ***",0.0,1.0,0.0,0.0
1524,1524,Before Sunrise,1995,Richard Linklater, ★★★★★ ,5.0, My philosophy on love just did a 180?? I suddenly don't think love is a scam?? Where's my soulmate?? ***,0.123,0.434,0.443,0.89
1525,1525,Before Sunrise,1995,Richard Linklater, ★★★★★ ,5.0, this would be 5 stars except i can't forgive ethan hawke's facial hairupdate: i have a forgiving nature ***,0.102,0.734,0.164,0.27
1526,1526,Before Sunrise,1995,Richard Linklater, ★★★★★ ,5.0," If somebody had told 19 year-old me that one day I’d watch this intimate masterpiece with my 14 year-old daughter... after having a conversation with Ethan Hawke where, just like an Ethan Hawke character in a Richard Linklater movie, he oh-so-insightfully schooled me on the importance of giving said daughter permission to make mistakes, to break hearts and have her heart broken... well, I might’ve said that sounded like something from a Richard Linklater movie. There is some kind of magic in this world. ***",0.027,0.799,0.174,0.9118
1527,1527,Before Sunrise,1995,Richard Linklater, ★★★★★ ,5.0," This review may contain spoilers. I can handle the truth.  i know call me by your name has consumed my entire life but COME ON, the last thing jesse says to celine is LATER  ***",0.0,0.951,0.049,0.1655
1528,1528,Before Sunrise,1995,Richard Linklater, ★★★★½ ,4.5, This is how some of y’all think you talk ***,0.0,1.0,0.0,0.0
1529,1529,Before Sunrise,1995,Richard Linklater, ★★★★★ ,5.0, The scene where they pretend to call their friends as a way to talk about their feelings and insecurities is one of the best scenes of all time. I smile and cry each and every damn time. ***,0.205,0.594,0.201,0.2023
1530,1530,Before Sunrise,1995,Richard Linklater, ★★★★ ,4.0, the scene???? in the recording booth?????? where they keep looking at each other???????? ruined my ENTIRE life?????????????????? ***,0.193,0.807,0.0,-0.6199
1531,1531,Before Sunrise,1995,Richard Linklater, ★★★½ ,3.5, oh man i wanted to watch the cow play :( ***,0.218,0.602,0.18,-0.128
